song_id,title,artist,genre,mood
song_1,Title_song_1,Artist_13,Classical,Chill
song_2,Title_song_2,Artist_2,Rock,Energetic
song_3,Title_song_3,Artist_13,Rock,Chill
song_4,Title_song_4,Artist_2,Classical,Energetic
song_5,Title_song_5,Artist_8,Pop,Chill
song_6,Title_song_6,Artist_9,Jazz,Happy
song_7,Title_song_7,Artist_11,Jazz,Energetic
song_8,Title_song_8,Artist_9,Classical,Happy
song_9,Title_song_9,Artist_8,Rock,Energetic
song_10,Title_song_10,Artist_15,Jazz,Energetic
song_11,Title_song_11,Artist_14,Hip-Hop,Happy
song_12,Title_song_12,Artist_7,Classical,Sad
song_13,Title_song_13,Artist_14,Classical,Energetic
song_14,Title_song_14,Artist_2,Hip-Hop,Sad
song_15,Title_song_15,Artist_3,Jazz,Chill
song_16,Title_song_16,Artist_5,Hip-Hop,Happy
song_17,Title_song_17,Artist_6,Rock,Sad
song_18,Title_song_18,Artist_2,Rock,Happy
song_19,Title_song_19,Artist_15,Pop,Energetic
song_20,Title_song_20,Artist_7,Jazz,Energetic
song_21,Title_song_21,Artist_15,Hip-Hop,Chill
song_22,Title_song_22,Artist_4,Pop,Sad
song_23,Title_song_23,Artist_12,Classical,Chill
song_24,Title_song_24,Artist_6,Classical,Energetic
song_25,Title_song_25,Artist_12,Rock,Energetic
song_26,Title_song_26,Artist_3,Jazz,Happy
song_27,Title_song_27,Artist_13,Pop,Sad
song_28,Title_song_28,Artist_19,Rock,Sad
song_29,Title_song_29,Artist_8,Rock,Energetic
song_30,Title_song_30,Artist_14,Hip-Hop,Happy
song_31,Title_song_31,Artist_1,Classical,Sad
song_32,Title_song_32,Artist_6,Hip-Hop,Happy
song_33,Title_song_33,Artist_8,Jazz,Energetic
song_34,Title_song_34,Artist_9,Classical,Chill
song_35,Title_song_35,Artist_12,Classical,Energetic
song_36,Title_song_36,Artist_7,Classical,Energetic
song_37,Title_song_37,Artist_17,Hip-Hop,Chill
song_38,Title_song_38,Artist_19,Pop,Happy
song_39,Title_song_39,Artist_17,Jazz,Energetic
song_40,Title_song_40,Artist_10,Pop,Chill
song_41,Title_song_41,Artist_3,Jazz,Energetic
song_42,Title_song_42,Artist_11,Jazz,Energetic
song_43,Title_song_43,Artist_10,Rock,Sad
song_44,Title_song_44,Artist_17,Rock,Happy
song_45,Title_song_45,Artist_20,Classical,Energetic
song_46,Title_song_46,Artist_5,Pop,Chill
song_47,Title_song_47,Artist_10,Jazz,Chill
song_48,Title_song_48,Artist_13,Classical,Happy
song_49,Title_song_49,Artist_19,Hip-Hop,Sad
song_50,Title_song_50,Artist_11,Rock,Chill
