user_id,song_id,timestamp,duration_sec
user_82,song_8,2025-03-02 05:08:22,170
user_32,song_15,2025-03-07 18:34:24,82
user_87,song_48,2025-03-27 11:23:53,74
user_76,song_28,2025-03-02 13:01:46,45
user_12,song_14,2025-03-12 07:04:10,288
user_78,song_2,2025-03-10 15:39:45,244
user_29,song_29,2025-03-14 12:06:56,33
user_98,song_11,2025-03-21 12:22:53,204
user_36,song_10,2025-03-11 10:51:31,202
user_14,song_6,2025-03-19 10:38:50,79
user_46,song_23,2025-03-13 20:11:20,52
user_94,song_30,2025-03-27 00:45:03,93
user_49,song_6,2025-03-27 19:10:26,180
user_81,song_40,2025-03-18 13:20:07,128
user_91,song_5,2025-03-03 05:23:21,146
user_99,song_19,2025-03-04 20:57:51,149
user_13,song_25,2025-03-14 11:51:45,262
user_82,song_24,2025-03-08 21:30:20,219
user_46,song_14,2025-03-13 23:03:06,66
user_78,song_41,2025-03-09 07:23:27,155
user_21,song_30,2025-03-19 10:05:51,168
user_82,song_45,2025-03-11 15:52:12,196
user_99,song_50,2025-03-03 17:10:20,147
user_5,song_21,2025-03-20 11:23:27,167
user_9,song_14,2025-03-16 06:37:34,138
user_84,song_32,2025-03-20 04:56:40,264
user_19,song_17,2025-03-07 18:40:52,156
user_96,song_36,2025-03-27 03:57:14,164
user_96,song_38,2025-03-21 19:09:41,234
user_47,song_15,2025-03-07 17:10:05,290
user_64,song_6,2025-03-03 06:53:40,86
user_20,song_41,2025-03-08 18:23:33,246
user_77,song_5,2025-03-19 16:17:11,225
user_77,song_30,2025-03-26 16:27:46,158
user_71,song_1,2025-03-06 13:27:44,166
user_99,song_42,2025-03-17 12:19:59,87
user_38,song_28,2025-03-08 16:16:01,262
user_1,song_47,2025-03-13 18:52:13,286
user_98,song_12,2025-03-25 15:29:31,84
user_81,song_20,2025-03-25 15:28:12,131
user_20,song_24,2025-03-08 20:13:05,30
user_77,song_21,2025-03-24 17:16:00,39
user_15,song_24,2025-03-15 22:16:47,152
user_8,song_16,2025-03-04 19:45:31,73
user_94,song_32,2025-03-04 08:38:18,94
user_17,song_43,2025-03-24 01:44:38,114
user_34,song_34,2025-03-21 12:59:29,138
user_70,song_49,2025-03-10 18:21:28,189
user_52,song_43,2025-03-19 03:03:59,254
user_67,song_29,2025-03-06 20:58:48,156
user_29,song_5,2025-03-17 09:53:53,40
user_76,song_36,2025-03-12 04:06:11,142
user_1,song_5,2025-03-03 20:35:34,147
user_9,song_3,2025-03-17 00:58:37,66
user_66,song_16,2025-03-14 12:26:58,278
user_28,song_35,2025-03-07 10:09:16,272
user_32,song_31,2025-03-20 18:15:33,127
user_13,song_7,2025-03-21 22:12:39,211
user_55,song_27,2025-03-23 16:07:23,57
user_87,song_42,2025-03-05 18:39:54,61
user_52,song_47,2025-03-17 11:18:58,85
user_32,song_13,2025-03-10 05:36:33,259
user_18,song_28,2025-03-09 21:46:44,172
user_60,song_16,2025-03-04 15:49:47,256
user_71,song_7,2025-03-03 10:56:22,37
user_12,song_49,2025-03-12 11:24:07,115
user_53,song_32,2025-03-24 08:49:23,139
user_52,song_4,2025-03-08 23:48:58,224
user_1,song_25,2025-03-13 20:59:02,262
user_37,song_28,2025-03-27 23:31:01,279
user_20,song_13,2025-03-15 09:41:22,141
user_8,song_38,2025-03-27 07:42:11,61
user_96,song_21,2025-03-03 18:36:08,55
user_75,song_31,2025-03-25 09:51:47,110
user_8,song_33,2025-03-04 21:20:11,125
user_9,song_39,2025-03-04 07:10:48,150
user_52,song_8,2025-03-12 22:51:42,50
user_80,song_6,2025-03-21 08:25:56,297
user_41,song_17,2025-03-10 21:58:45,190
user_31,song_17,2025-03-20 05:07:26,97
user_86,song_42,2025-03-15 13:31:18,264
user_41,song_49,2025-03-04 12:31:07,34
user_59,song_40,2025-03-05 20:29:11,67
user_69,song_14,2025-03-25 13:23:54,165
user_17,song_23,2025-03-04 08:08:51,155
user_48,song_19,2025-03-08 15:47:18,254
user_70,song_46,2025-03-15 16:27:28,300
user_2,song_43,2025-03-27 22:09:30,183
user_85,song_7,2025-03-07 12:27:37,165
user_15,song_7,2025-03-27 20:33:08,109
user_35,song_19,2025-03-11 05:24:04,205
user_27,song_44,2025-03-13 19:33:48,288
user_63,song_17,2025-03-03 11:11:06,77
user_82,song_28,2025-03-14 10:21:20,52
user_1,song_22,2025-03-07 08:24:57,164
user_21,song_48,2025-03-22 10:46:32,248
user_72,song_1,2025-03-06 10:20:33,68
user_89,song_10,2025-03-27 11:39:31,48
user_48,song_38,2025-03-27 19:44:18,105
user_56,song_9,2025-03-03 00:44:02,187
user_47,song_3,2025-03-18 08:52:40,137
user_88,song_16,2025-03-05 23:45:47,211
user_100,song_36,2025-03-20 17:27:50,109
user_31,song_11,2025-03-09 14:16:51,241
user_4,song_12,2025-03-17 03:01:26,240
user_86,song_48,2025-03-13 01:08:08,166
user_21,song_45,2025-03-06 05:56:25,225
user_5,song_31,2025-03-11 19:09:14,132
user_59,song_23,2025-03-15 19:34:23,146
user_29,song_2,2025-03-10 09:00:45,234
user_43,song_18,2025-03-04 08:52:51,172
user_45,song_42,2025-03-25 17:30:02,234
user_87,song_35,2025-03-17 01:49:03,44
user_15,song_17,2025-03-09 16:02:47,165
user_5,song_7,2025-03-22 02:18:12,206
user_94,song_21,2025-03-22 04:26:08,291
user_15,song_25,2025-03-10 05:27:28,160
user_6,song_46,2025-03-22 04:02:37,30
user_67,song_35,2025-03-10 13:33:45,216
user_56,song_5,2025-03-17 00:42:39,190
user_85,song_8,2025-03-15 13:54:02,289
user_40,song_43,2025-03-20 19:48:44,197
user_52,song_45,2025-03-15 08:27:47,95
user_25,song_27,2025-03-19 09:44:10,119
user_79,song_37,2025-03-15 14:37:55,237
user_71,song_1,2025-03-15 18:02:23,176
user_27,song_28,2025-03-16 15:26:51,268
user_57,song_29,2025-03-11 08:58:48,291
user_61,song_48,2025-03-09 05:42:17,73
user_37,song_33,2025-03-17 06:31:21,77
user_97,song_16,2025-03-16 01:39:53,145
user_26,song_10,2025-03-02 04:27:27,53
user_32,song_31,2025-03-04 12:51:03,263
user_54,song_41,2025-03-10 10:32:00,226
user_64,song_26,2025-03-12 20:15:44,105
user_84,song_45,2025-03-01 06:27:36,84
user_100,song_28,2025-03-11 14:58:06,120
user_90,song_34,2025-03-23 13:14:23,55
user_72,song_16,2025-03-06 21:23:34,263
user_18,song_30,2025-03-26 18:48:48,192
user_97,song_29,2025-03-25 12:06:33,248
user_71,song_29,2025-03-08 17:25:56,273
user_58,song_17,2025-03-13 00:03:18,171
user_99,song_50,2025-03-26 07:21:29,278
user_81,song_16,2025-03-14 07:55:45,255
user_10,song_46,2025-03-14 20:53:50,150
user_35,song_22,2025-03-16 12:29:19,71
user_18,song_10,2025-03-12 05:26:20,226
user_89,song_10,2025-03-11 09:16:23,62
user_54,song_27,2025-03-17 01:30:17,268
user_54,song_4,2025-03-11 00:58:46,245
user_50,song_50,2025-03-01 22:45:22,224
user_62,song_1,2025-03-18 01:49:43,182
user_97,song_25,2025-03-21 08:11:42,142
user_63,song_15,2025-03-14 05:59:33,253
user_63,song_2,2025-03-19 21:03:05,202
user_86,song_44,2025-03-20 15:03:47,114
user_60,song_9,2025-03-26 22:17:56,43
user_51,song_38,2025-03-02 07:34:34,72
user_83,song_28,2025-03-07 14:06:04,266
user_24,song_4,2025-03-13 15:06:14,224
user_42,song_14,2025-03-23 01:45:47,197
user_44,song_49,2025-03-19 09:42:50,172
user_97,song_27,2025-03-13 05:55:03,71
user_61,song_2,2025-03-27 04:28:07,56
user_45,song_15,2025-03-04 07:56:46,50
user_97,song_2,2025-03-13 00:06:21,132
user_3,song_40,2025-03-08 09:32:17,152
user_17,song_31,2025-03-06 13:16:24,141
user_60,song_45,2025-03-13 10:32:43,218
user_22,song_39,2025-03-06 13:26:25,113
user_40,song_7,2025-03-02 05:55:03,189
user_74,song_44,2025-03-19 05:15:51,233
user_92,song_13,2025-03-04 16:32:32,154
user_14,song_45,2025-03-15 15:22:09,91
user_73,song_3,2025-03-17 20:31:18,249
user_85,song_24,2025-03-04 08:20:25,289
user_83,song_22,2025-03-01 14:44:26,245
user_63,song_7,2025-03-22 01:05:28,215
user_82,song_30,2025-03-08 10:14:51,252
